epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,209.888,1.37057,1.03979,1.25389,0.00333,0.44444,0.00172,0.00028,3.09294,4.74817,2.78578,0.0010092,0.0010092,0.0010092
100,210.447,1.29815,1.12292,1.27088,0.0025,0.33333,0.00107,0.00019,3.18111,5.68826,2.98309,0.0010097,0.0010097,0.0010097
101,210.982,1.4652,1.05535,1.33328,0.0025,0.33333,0.00107,0.00019,3.18111,5.68826,2.98309,0.00101,0.00101,0.00101
102,211.534,1.30272,1.00586,1.19712,0,0,0,0,3.16821,6.63184,3.12025,0.0010001,0.0010001,0.0010001
103,212.057,1.48666,1.14837,1.32329,0,0,0,0,3.16821,6.63184,3.12025,0.0009902,0.0009902,0.0009902
104,212.604,1.29909,1.14791,1.3074,0.00083,0.11111,0.00014,3e-05,2.96197,7.0675,2.80562,0.0009803,0.0009803,0.0009803
105,213.124,1.25648,1.17506,1.38469,0.00083,0.11111,0.00014,3e-05,2.96197,7.0675,2.80562,0.0009704,0.0009704,0.0009704
106,213.732,1.29921,1.13834,1.28125,0.00083,0.11111,0.00019,8e-05,3.1472,6.01679,3.02995,0.0009605,0.0009605,0.0009605
107,214.254,1.43145,1.07098,1.16574,0.00083,0.11111,0.00019,8e-05,3.1472,6.01679,3.02995,0.0009506,0.0009506,0.0009506
108,214.798,1.53934,1.07155,1.15162,0.00167,0.22222,0.00043,4e-05,2.80795,12.1924,2.55396,0.0009407,0.0009407,0.0009407
109,215.319,1.11271,0.87894,1.20843,0.00167,0.22222,0.00043,4e-05,2.80795,12.1924,2.55396,0.0009308,0.0009308,0.0009308
110,215.863,1.45702,0.9726,1.08803,0.00167,0.22222,0.00044,0.00012,2.56903,12.8938,2.40214,0.0009209,0.0009209,0.0009209
111,216.41,1.4445,0.97282,1.2311,0.00167,0.22222,0.00044,0.00012,2.56903,12.8938,2.40214,0.000911,0.000911,0.000911
112,216.954,1.11148,0.9318,1.17126,0.0025,0.33333,0.00121,0.0002,2.68862,8.82823,2.42428,0.0009011,0.0009011,0.0009011
